pokedex_number,name,classfication,type1,type2,generation,is_legendary,ability 1,ability 2,ability 3,ability 4,ability 5,ability 6,height_m,weight_kg,capture_rate,percentage_male,experience_growth,attack,defense,speed,hp,sp_attack,sp_defense,base_egg_steps,base_happiness,base_total,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
218,Slugma,Lava Pokemon,fire,,2,0,Magma Armor,Flame Body,Weak Armor,,,,0.7,35,190,50,1000000,40,40,20,40,70,40,5120,70,250,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
219,Magcargo,Lava Pokemon,fire,rock,2,0,Magma Armor,Flame Body,Weak Armor,,,,0.8,55,75,50,1000000,50,120,30,60,90,80,5120,70,430,0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4
220,Swinub,Pig Pokemon,ice,ground,2,0,Oblivious,Snow Cloak,Thick Fat,,,,0.4,6.5,225,50,1250000,50,40,50,50,30,30,5120,70,250,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2
221,Piloswine,Swine Pokemon,ice,ground,2,0,Oblivious,Snow Cloak,Thick Fat,,,,1.1,55.8,75,50,1250000,100,80,50,100,60,60,5120,70,450,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2
222,Corsola,Coral Pokemon,water,rock,2,0,Hustle,Natural Cure,Regenerator,,,,0.6,5,60,24.6,800000,55,95,35,65,65,95,5120,70,410,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
223,Remoraid,Jet Pokemon,water,,2,0,Hustle,Sniper,Moody,,,,0.6,12,190,50,1000000,65,35,65,35,65,35,5120,70,300,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
224,Octillery,Jet Pokemon,water,,2,0,Suction Cups,Sniper,Moody,,,,0.9,28.5,75,50,1000000,105,75,45,75,105,75,5120,70,480,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
225,Delibird,Delivery Pokemon,ice,flying,2,0,Vital Spirit,Hustle,Insomnia,,,,0.9,16,45,50,800000,55,45,75,45,65,45,5120,70,330,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1
226,Mantine,Kite Pokemon,water,flying,2,0,Swift Swim,Water Absorb,Water Veil,,,,2.1,220,25,50,1250000,40,70,70,85,80,140,6400,70,485,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
227,Skarmory,Armor Bird Pokemon,steel,flying,2,0,Keen Eye,Sturdy,Weak Armor,,,,1.7,50.5,25,50,1250000,80,140,70,65,40,70,6400,70,465,0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1
228,Houndour,Dark Pokemon,dark,fire,2,0,Early Bird,Flash Fire,Unnerve,,,,0.6,10.8,120,50,1250000,60,30,65,45,80,50,5120,35,330,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2
229,Houndoom,Dark Pokemon,dark,fire,2,0,Early Bird,Flash Fire,Unnerve,,,,1.4,35,45,50,1250000,90,90,115,75,140,90,5120,35,600,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2
230,Kingdra,Dragon Pokemon,water,dragon,2,0,Swift Swim,Sniper,Damp,,,,1.8,152,45,50,1000000,95,95,85,75,95,95,5120,70,540,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25
231,Phanpy,Long Nose Pokemon,ground,,2,0,Pickup,Sand Veil,,,,,0.5,33.5,120,50,1000000,60,60,40,90,40,40,5120,70,330,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
232,Donphan,Armor Pokemon,ground,,2,0,Sturdy,Sand Veil,,,,,1.1,120,60,50,1000000,120,120,50,90,60,60,5120,70,500,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
233,Porygon2,Virtual Pokemon,normal,,2,0,Trace,Download,Analytic,,,,0.6,32.5,45,,1000000,80,90,60,85,105,95,5120,70,515,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
234,Stantler,Big Horn Pokemon,normal,,2,0,Intimidate,Frisk,Sap Sipper,,,,1.4,71.2,45,50,1250000,95,62,85,73,85,65,5120,70,465,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
235,Smeargle,Painter Pokemon,normal,,2,0,Own Tempo,Technician,Moody,,,,1.2,58,45,50,800000,20,35,75,55,20,45,5120,70,250,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
236,Tyrogue,Scuffle Pokemon,fighting,,2,0,Guts,Steadfast,Vital Spirit,,,,0.7,21,75,100,1000000,35,35,35,35,35,35,6400,70,210,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
237,Hitmontop,Handstand Pokemon,fighting,,2,0,Intimidate,Technician,Steadfast,,,,1.4,48,45,100,1000000,95,95,70,50,35,110,6400,70,455,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
238,Smoochum,Kiss Pokemon,ice,psychic,2,0,Oblivious,Forewarn,Hydration,,,,0.4,6,45,0,1000000,30,15,65,45,85,65,6400,70,305,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1
239,Elekid,Electric Pokemon,electric,,2,0,Static,Vital Spirit,,,,,0.6,23.5,45,75.4,1000000,63,37,95,45,65,55,6400,70,360,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
240,Magby,Live Coal Pokemon,fire,,2,0,Flame Body,Vital Spirit,,,,,0.7,21.4,45,75.4,1000000,75,37,83,45,70,55,6400,70,365,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
241,Miltank,Milk Cow Pokemon,normal,,2,0,Thick Fat,Scrappy,Sap Sipper,,,,1.2,75.5,45,0,1250000,80,105,100,95,40,70,5120,70,490,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
242,Blissey,Happiness Pokemon,normal,,2,0,Natural Cure,Serene Grace,Healer,,,,1.5,46.8,30,0,800000,10,10,55,255,75,135,10240,140,540,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
243,Raikou,Thunder Pokemon,electric,,2,1,Pressure,Inner Focus,,,,,1.9,178,3,,1250000,85,75,115,90,115,100,20480,35,580,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
244,Entei,Volcano Pokemon,fire,,2,1,Pressure,Inner Focus,,,,,2.1,198,3,,1250000,115,85,100,115,90,75,20480,35,580,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
245,Suicune,Aurora Pokemon,water,,2,1,Pressure,Inner Focus,,,,,2,187,3,,1250000,75,115,85,100,90,115,20480,35,580,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
246,Larvitar,Rock Skin Pokemon,rock,ground,2,0,Guts,Sand Veil,,,,,0.6,72,45,50,1250000,64,50,41,50,45,50,10240,35,300,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
247,Pupitar,Hard Shell Pokemon,rock,ground,2,0,Shed Skin,,,,,,1.2,152,45,50,1250000,84,70,51,70,65,70,10240,35,410,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
248,Tyranitar,Armor Pokemon,rock,dark,2,0,Sand Stream,Unnerve,,,,,2,202,45,50,1250000,164,150,71,100,95,120,10240,35,700,2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2
249,Lugia,Diving Pokemon,psychic,flying,2,1,Pressure,Multiscale,,,,,5.2,216,3,,1250000,90,130,110,106,90,154,30720,0,680,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1
250,Ho-Oh,Rainbow Pokemon,fire,flying,2,1,Pressure,Regenerator,,,,,3.8,199,3,,1250000,130,90,90,106,110,154,30720,0,680,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2
251,Celebi,Time Travel Pokemon,psychic,grass,2,1,Natural Cure,,,,,,0.6,5,45,,1059860,100,100,100,100,100,100,30720,100,600,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5
252,Treecko,Wood Gecko Pokemon,grass,,3,0,Overgrow,Unburden,,,,,0.5,5,45,88.1,1059860,45,35,70,40,65,55,5120,70,310,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
253,Grovyle,Wood Gecko Pokemon,grass,,3,0,Overgrow,Unburden,,,,,0.9,21.6,45,88.1,1059860,65,45,95,50,85,65,5120,70,405,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
254,Sceptile,Forest Pokemon,grass,,3,0,Overgrow,Unburden,,,,,1.7,52.2,45,88.1,1059860,110,75,145,70,145,85,5120,70,630,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
255,Torchic,Chick Pokemon,fire,,3,0,Blaze,Speed Boost,,,,,0.4,2.5,45,88.1,1059860,60,40,45,45,70,50,5120,70,310,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
256,Combusken,Young Fowl Pokemon,fire,fighting,3,0,Blaze,Speed Boost,,,,,0.9,19.5,45,88.1,1059860,85,60,55,60,85,60,5120,70,405,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2
257,Blaziken,Blaze Pokemon,fire,fighting,3,0,Blaze,Speed Boost,,,,,1.9,52,45,88.1,1059860,160,80,100,80,130,80,5120,70,630,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2
258,Mudkip,Mud Fish Pokemon,water,,3,0,Torrent,Damp,,,,,0.4,7.6,45,88.1,1059860,70,50,40,50,50,50,5120,70,310,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
259,Marshtomp,Mud Fish Pokemon,water,ground,3,0,Torrent,Damp,,,,,0.7,28,45,88.1,1059860,85,70,50,70,60,70,5120,70,405,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
260,Swampert,Mud Fish Pokemon,water,ground,3,0,Torrent,Damp,,,,,1.5,81.9,45,88.1,1059860,150,110,70,100,95,110,5120,70,635,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
261,Poochyena,Bite Pokemon,dark,,3,0,Run Away,Quick Feet,Rattled,,,,0.5,13.6,255,50,1000000,55,35,35,35,30,30,3840,70,220,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
262,Mightyena,Bite Pokemon,dark,,3,0,Intimidate,Quick Feet,Moxie,,,,1,37,127,50,1000000,90,70,70,70,60,60,3840,70,420,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
263,Zigzagoon,Tiny Racoon Pokemon,normal,,3,0,Pickup,Gluttony,Quick Feet,,,,0.4,17.5,255,50,1000000,30,41,60,38,30,41,3840,70,240,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
264,Linoone,Rush Pokemon,normal,,3,0,Pickup,Gluttony,Quick Feet,,,,0.5,32.5,90,50,1000000,70,61,100,78,50,61,3840,70,420,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
265,Wurmple,Worm Pokemon,bug,,3,0,Shield Dust,Run Away,,,,,0.3,3.6,255,50,1000000,45,35,20,45,20,30,3840,70,195,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
266,Silcoon,Cocoon Pokemon,bug,,3,0,Shed Skin,,,,,,0.6,10,120,50,1000000,35,55,15,50,25,25,3840,70,205,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
267,Beautifly,Butterfly Pokemon,bug,flying,3,0,Swarm,Rivalry,,,,,1,28.4,45,50,1000000,70,50,65,60,100,50,3840,70,395,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
268,Cascoon,Cocoon Pokemon,bug,,3,0,Shed Skin,,,,,,0.7,11.5,120,50,1000000,35,55,15,50,25,25,3840,70,205,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
269,Dustox,Poison Moth Pokemon,bug,poison,3,0,Shield Dust,Compoundeyes,,,,,1.2,31.6,45,50,1000000,50,70,65,60,50,90,3840,70,385,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
270,Lotad,Water Weed Pokemon,water,grass,3,0,Swift Swim,Rain Dish,Own Tempo,,,,0.5,2.6,255,50,1059860,30,30,30,40,40,50,3840,70,220,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25
271,Lombre,Jolly Pokemon,water,grass,3,0,Swift Swim,Rain Dish,Own Tempo,,,,1.2,32.5,120,50,1059860,50,50,50,60,60,70,3840,70,340,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25
272,Ludicolo,Carefree Pokemon,water,grass,3,0,Swift Swim,Rain Dish,Own Tempo,,,,1.5,55,45,50,1059860,70,70,70,80,90,100,3840,70,480,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25
273,Seedot,Acorn Pokemon,grass,,3,0,Chlorophyll,Early Bird,Pickpocket,,,,0.5,4,255,50,1059860,40,50,30,40,30,30,3840,70,220,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
274,Nuzleaf,Wily Pokemon,grass,dark,3,0,Chlorophyll,Early Bird,Pickpocket,,,,1,28,120,50,1059860,70,40,60,70,60,40,3840,70,340,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5
275,Shiftry,Wickid Pokemon,grass,dark,3,0,Chlorophyll,Early Bird,Pickpocket,,,,1.3,59.6,45,50,1059860,100,60,80,90,90,60,3840,70,480,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5
276,Taillow,TinySwallow Pokemon,normal,flying,3,0,Guts,Scrappy,,,,,0.3,2.3,200,50,1059860,55,30,85,40,30,30,3840,70,270,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
277,Swellow,Swallow Pokemon,normal,flying,3,0,Guts,Scrappy,,,,,0.7,19.8,45,50,1059860,85,60,125,60,75,50,3840,70,455,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
278,Wingull,Seagull Pokemon,water,flying,3,0,Keen Eye,Hydration,Rain Dish,,,,0.6,9.5,190,50,1000000,30,30,85,40,55,30,5120,70,270,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
279,Pelipper,Water Bird Pokemon,water,flying,3,0,Keen Eye,Drizzle,Rain Dish,,,,1.2,28,45,50,1000000,50,100,65,60,95,70,5120,70,440,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
280,Ralts,Feeling Pokemon,psychic,fairy,3,0,Synchronize,Trace,Telepathy,,,,0.4,6.6,235,50,1250000,25,25,40,28,45,35,5120,35,198,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1
281,Kirlia,Emotion Pokemon,psychic,fairy,3,0,Synchronize,Trace,Telepathy,,,,0.8,20.2,120,50,1250000,35,35,50,38,65,55,5120,35,278,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1
282,Gardevoir,Embrace Pokemon,psychic,fairy,3,0,Synchronize,Trace,Telepathy,,,,1.6,48.4,45,50,1250000,85,65,100,68,165,135,5120,35,618,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1
283,Surskit,Pond Skater Pokemon,bug,water,3,0,Swift Swim,Rain Dish,,,,,0.5,1.7,200,50,1000000,30,32,65,40,50,52,3840,70,269,1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5
284,Masquerain,Eyeball Pokemon,bug,flying,3,0,Intimidate,Unnerve,,,,,0.8,3.6,75,50,1000000,60,62,80,70,100,82,3840,70,454,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
285,Shroomish,Mushroom Pokemon,grass,,3,0,Effect Spore,Poison Heal,Quick Feet,,,,0.4,4.5,255,50,1640000,40,60,35,60,40,60,3840,70,295,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
286,Breloom,Mushroom Pokemon,grass,fighting,3,0,Effect Spore,Poison Heal,Technician,,,,1.2,39.2,90,50,1640000,130,80,70,60,60,60,3840,70,460,1,0.5,1,0.5,2,1,2,4,1,0.5,0.5,2,1,2,2,0.5,1,0.5
287,Slakoth,Slacker Pokemon,normal,,3,0,Truant,,,,,,0.8,24,255,50,1250000,60,60,30,60,35,35,3840,70,280,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
288,Vigoroth,Wild Monkey Pokemon,normal,,3,0,Vital Spirit,,,,,,1.4,46.5,120,50,1250000,80,80,90,80,55,55,3840,70,440,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
289,Slaking,Lazy Pokemon,normal,,3,0,Truant,,,,,,2,130.5,45,50,1250000,160,100,100,150,95,65,3840,70,670,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
290,Nincada,Trainee Pokemon,bug,ground,3,0,Compoundeyes,Run Away,,,,,0.5,5.5,255,50,600000,45,90,40,31,30,30,3840,70,266,1,1,1,0,1,0.5,2,2,1,1,0.5,2,1,0.5,1,1,1,2
291,Ninjask,Ninja Pokemon,bug,flying,3,0,Speed Boost,Infiltrator,,,,,0.8,12,120,50,600000,90,45,160,61,50,50,3840,70,456,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
292,Shedinja,Shed Pokemon,bug,ghost,3,0,Wonder Guard,,,,,,0.8,1.2,45,,600000,90,45,40,1,30,30,3840,70,236,0.5,2,1,1,1,0,2,2,2,0.5,0.5,1,0,0.5,1,2,1,1
293,Whismur,Whisper Pokemon,normal,,3,0,Soundproof,Rattled,,,,,0.6,16.3,190,50,1059860,51,23,28,64,51,23,5120,70,240,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
294,Loudred,Big Voice Pokemon,normal,,3,0,Soundproof,Scrappy,,,,,1,40.5,120,50,1059860,71,43,48,84,71,43,5120,70,360,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
295,Exploud,Loud Noise Pokemon,normal,,3,0,Soundproof,Scrappy,,,,,1.5,84,45,50,1059860,91,63,68,104,91,73,5120,70,490,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
296,Makuhita,Guts Pokemon,fighting,,3,0,Thick Fat,Guts,Sheer Force,,,,1,86.4,180,75.4,1640000,60,30,25,72,20,30,5120,70,237,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
297,Hariyama,Arm Thrust Pokemon,fighting,,3,0,Thick Fat,Guts,Sheer Force,,,,2.3,253.8,200,75.4,1640000,120,60,50,144,40,60,5120,70,474,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
298,Azurill,Polka Dot Pokemon,normal,fairy,3,0,Thick Fat,Huge Power,Sap Sipper,,,,0.2,2,150,24.6,800000,20,40,20,50,20,40,2560,70,190,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1
299,Nosepass,Compass Pokemon,rock,,3,0,Sturdy,Magnet Pull,Sand Force,,,,1,97,255,50,1000000,45,135,30,30,45,90,5120,70,375,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
300,Skitty,Kitten Pokemon,normal,,3,0,Cute Charm,Normalize,Wonder Skin ,,,,0.6,11,255,24.6,800000,45,45,50,50,35,35,3840,70,260,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
301,Delcatty,Prim Pokemon,normal,,3,0,Cute Charm,Normalize,Wonder Skin ,,,,1.1,32.6,60,24.6,800000,65,65,90,70,55,55,3840,70,400,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
302,Sableye,Darkness Pokemon,dark,ghost,3,0,Keen Eye,Stall,Prankster,,,,0.5,11,45,50,1059860,85,125,20,50,85,115,6400,35,480,1,1,1,1,2,0,1,1,1,1,1,1,0,0.5,0,1,1,1
303,Mawile,Deceiver Pokemon,steel,fairy,3,0,Hyper Cutter,Intimidate,Sheer Force,,,,0.6,11.5,45,50,800000,105,125,50,50,55,95,5120,70,480,0.25,0.5,0,1,0.5,1,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,1,1
304,Aron,Iron Armor Pokemon,steel,rock,3,0,Sturdy,Rock Head,Heavy Metal,,,,0.4,60,180,50,1250000,70,100,30,50,40,40,8960,35,330,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2
305,Lairon,Iron Armor Pokemon,steel,rock,3,0,Sturdy,Rock Head,Heavy Metal,,,,0.9,120,90,50,1250000,90,140,40,60,50,50,8960,35,430,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2
306,Aggron,Iron Armor Pokemon,steel,rock,3,0,Sturdy,Rock Head,Heavy Metal,,,,2.1,360,45,50,1250000,140,230,50,70,60,80,8960,35,630,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2
307,Meditite,Meditate Pokemon,fighting,psychic,3,0,Pure Power,Telepathy,,,,,0.6,11.2,180,50,1000000,40,55,60,30,40,55,5120,70,280,1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1
308,Medicham,Meditate Pokemon,fighting,psychic,3,0,Pure Power,Telepathy,,,,,1.3,31.5,90,50,1000000,100,85,100,60,80,85,5120,70,510,1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1
309,Electrike,Lightning Pokemon,electric,,3,0,Static,Lightningrod,Minus,,,,0.6,15.2,120,50,1250000,45,40,65,40,65,40,5120,70,295,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
310,Manectric,Discharge Pokemon,electric,,3,0,Static,Lightningrod,Minus,,,,1.5,40.2,45,50,1250000,75,80,135,70,135,80,5120,70,575,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
311,Plusle,Cheering Pokemon,electric,,3,0,Plus,Lightningrod,,,,,0.4,4.2,200,50,1000000,50,40,95,60,85,75,5120,70,405,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
312,Minun,Cheering Pokemon,electric,,3,0,Minus,Volt Absorb,,,,,0.4,4.2,200,50,1000000,40,50,95,60,75,85,5120,70,405,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
313,Volbeat,Firefly Pokemon,bug,,3,0,Illuminate,Swarm,Prankster,,,,0.7,17.7,150,100,600000,73,75,85,65,47,85,3840,70,430,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
314,Illumise,Firefly Pokemon,bug,,3,0,Oblivious,Tinted Lens,Prankster,,,,0.6,17.7,150,0,1640000,47,75,85,65,73,85,3840,70,430,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
315,Roselia,Thorn Pokemon,grass,poison,3,0,Natural Cure,Poison Point,Leaf Guard,,,,0.3,2,150,50,1059860,60,45,65,50,100,80,5120,70,400,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
316,Gulpin,Stomach Pokemon,poison,,3,0,Liquid Ooze,Sticky Hold,Gluttony,,,,0.4,10.3,225,50,1640000,43,53,40,70,43,53,5120,70,302,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
317,Swalot,Poison Bag Pokemon,poison,,3,0,Liquid Ooze,Sticky Hold,Gluttony,,,,1.7,80,75,50,1640000,73,83,55,100,73,83,5120,70,467,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
318,Carvanha,Savage Pokemon,water,dark,3,0,Rough Skin,Speed Boost,,,,,0.8,20.8,225,50,1250000,90,20,65,45,65,20,5120,35,305,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5
319,Sharpedo,Brutal Pokemon,water,dark,3,0,Rough Skin,Speed Boost,,,,,1.8,88.8,60,50,1250000,140,70,105,70,110,65,5120,35,560,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5
320,Wailmer,Ball Whale Pokemon,water,,3,0,Water Veil,Oblivious,Pressure,,,,2,130,125,50,1640000,70,35,60,130,70,35,10240,70,400,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
321,Wailord,Float Whale Pokemon,water,,3,0,Water Veil,Oblivious,Pressure,,,,14.5,398,60,50,1640000,90,45,60,170,90,45,10240,70,500,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
322,Numel,Numb Pokemon,fire,ground,3,0,Oblivious,Simple,Own Tempo,,,,0.7,24,255,50,1000000,60,40,35,60,65,45,5120,70,305,0.5,1,1,0,0.5,1,0.5,1,1,1,2,1,1,0.5,1,1,0.5,4
323,Camerupt,Eruption Pokemon,fire,ground,3,0,Magma Armor,Solid Rock,Anger Point,,,,1.9,220,150,50,1000000,120,100,20,70,145,105,5120,70,560,0.5,1,1,0,0.5,1,0.5,1,1,1,2,1,1,0.5,1,1,0.5,4
324,Torkoal,Coal Pokemon,fire,,3,0,White Smoke,Drought,Shell Armor,,,,0.5,80.4,90,50,1000000,85,140,20,70,85,70,5120,70,470,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
325,Spoink,Bounce Pokemon,psychic,,3,0,Thick Fat,Own Tempo,Gluttony,,,,0.7,30.6,255,50,800000,25,35,60,60,70,80,5120,70,330,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
326,Grumpig,Manipulate Pokemon,psychic,,3,0,Thick Fat,Own Tempo,Gluttony,,,,0.9,71.5,60,50,800000,45,65,80,80,90,110,5120,70,470,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
327,Spinda,Spot Panda Pokemon,normal,,3,0,Own Tempo,Tangled Feet,Contrary,,,,1.1,5,255,50,800000,60,60,60,60,60,60,3840,70,360,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
328,Trapinch,Ant Pit Pokemon,ground,,3,0,Hyper Cutter,Arena Trap,Sheer Force,,,,0.7,15,255,50,1059860,100,45,10,45,45,45,5120,70,290,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
329,Vibrava,Vibration Pokemon,ground,dragon,3,0,Levitate,,,,,,1.1,15.3,120,50,1059860,70,50,70,50,50,50,5120,70,340,1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1
